X,Y
0,0.006737946999085467
1,0.03368973499542734
2,0.08422433748856832
3,0.1403738958142805
4,0.17546736976785063
5,0.17546736976785068
6,0.1462228081398754
7,0.10444486295705414
8,0.06527803934815865
9,0.036265577415643645
10,0.018132788707821822
11,0.008242176685373562
12,0.0034342402855723105
13,0.0013208616482970467
14,0.0004717363029632322
15,0.0001572454343210772
16,4.91391982253364e-5
17,1.445270536039306e-5
18,4.01464037788697e-6
19,1.0564843099702565e-6
20,2.6412107749256406e-7
21,6.288597083156218e-8
22,1.42922660980824e-8
23,3.1070143691483566e-9
24,6.472946602392453e-10
25,1.2945893204784776e-10
26,2.489594847073999e-11
27,4.610360827914858e-12
28,8.232787192705023e-13
29,1.4194460677077556e-13
30,2.3657434461795938e-14
